*	OSC1_Ch1	OSC1_Ch2	
0.00191181752756231	0.0179996733212846	0	0
0.00191225491804525	0.0179996733212846	0	0
0.00191279486939266	0.0179996733212846	0	0
0.00191358081390614	0.0179996733212775	0	0
0.00191515270293285	0.0179996733212704	0	0
0.00191796778952935	0.0179996733212988	0	0
0.0019221109973564	0.0179996733212846	0	0
0.00193039741301049	0.0179996733212704	0	0
0.00194697024431889	0.017999673321313	0	0
0.00198011590693548	0.0179996733212704	0	0
0.00203011590693558	0.0179996733212704	0	0
0.00208011590693569	0.0179996733212704	0	0
0.00213011590693579	0.0179996733212704	0	0
0.0021801159069359	0.0179996733212704	0	0
0.002230115906936	0.0179996733212704	0	0
0.00228011590693611	0.0179996733212704	0	0
0.00233011590693621	0.0179996733212704	0	0
0.00238011590693632	0.0179996733212704	0	0
0.00243011590693643	0.0179996733212704	0	0
0.00248011590693653	0.0179996733212704	0	0
0.00248324090693663	0.0179996733212846	0	0
0.00248480340693669	0.0179996733212278	0	0
0.00248499871943664	0.0179996731203822	0	0
0.00248538934443654	0.0179996731516319	0	0
0.00248543817256164	0.0179996729331249	0	0
0.00248553582881161	0.0179996723735094	0	0
0.00248554933954903	0.0179996733197303	0	0
0.00248556285028645	0.0179996732846313	0	0
0.00248558041080504	1.47676044820539	0	0
0.00248559436148987	3.07673947256759	0	0
0.00248560702921807	4.63855173583481	0	0
0.00248562207553538	6.51826941434701	0	0
0.00248563687432091	8.36067242838919	0	0
0.00248565578766291	10.6892200232248	0	0
0.00248567713601311	13.2766735066871	0	0
0.00248569716538882	13.6036782232094	0	0
0.00248571261718289	13.6031751610115	0	0
0.002485726720165	13.6030252368417	0	0
0.0024857496402928	13.6030250899436	0	0
0.00248579548054817	13.6030252318376	0	0
0.0024858483423833	13.6030252320788	0	0
0.00248588171340725	13.6030252320433	0	0
0.00248590605127919	13.6030252320432	0	0
0.00248591569039625	13.6030252320432	0	0
0.00248592900363209	13.6030252320432	0	0
0.0024859466993008	13.6030252320432	0	0
0.00248598209063844	13.6030252320432	0	0
0.00248603360132238	13.6030252320432	0	0
0.00248607992598848	13.6030252320432	0	0
0.00248612397756665	13.6030252320432	0	0
0.00248616121472556	13.6030252320432	0	0
